"","V1","V2","V3","V4","V5","V6","V7","V8"
"281",2,2,2,1,2,1,1,1
"282",2,2,2,1,1,1,1,3
"283",2,2,2,1,1,1,1,3
"284",2,2,2,1,1,1,1,3
"285",3,2,2,1,1,1,1,3
"286",3,2,2,1,1,1,2,3
"287",3,2,2,1,1,1,2,3
"288",3,2,3,1,1,1,2,3
"289",3,3,3,1,1,1,2,3
"290",3,3,3,1,1,1,1,2
"291",4,3,3,1,1,1,1,2
"292",4,3,3,1,2,1,1,2
"293",4,3,3,1,2,1,1,2
"294",4,3,3,1,2,1,1,2
"295",1,1,1,1,1,1,1,1
"296",1,1,1,1,1,1,1,1
"297",1,1,1,1,1,1,1,1
"298",1,1,2,1,2,1,1,1
"299",1,1,1,1,1,1,1,1
"300",2,2,2,1,1,1,1,1
"301",2,1,2,1,1,1,1,3
"302",2,2,2,1,1,1,1,3
"303",2,2,2,1,1,1,1,3
"304",3,2,2,1,1,1,1,3
"305",3,2,2,1,1,1,1,3
"306",3,2,2,1,1,1,2,3
"307",3,2,2,1,1,1,2,3
"308",3,2,3,1,1,1,2,3
"309",3,2,3,1,1,1,2,3
"310",3,2,3,1,1,1,2,3
"311",3,3,3,1,1,1,2,2
"312",3,3,3,1,2,1,1,2
"313",4,3,3,1,2,1,1,2
"314",4,3,3,1,2,1,1,2
"315",4,3,3,1,2,1,1,2
"316",1,1,1,1,1,1,1,1
"317",1,1,1,1,1,1,1,1
"318",1,1,1,1,1,1,1,1
"319",2,1,2,1,1,1,1,3
"320",2,2,2,1,1,1,1,3
"321",2,2,2,1,1,1,1,3
"322",3,2,2,1,1,1,1,3
"323",2,2,2,1,1,1,1,3
"324",2,2,2,1,1,1,1,3
"325",3,2,2,1,1,1,1,3
"326",3,2,2,1,1,1,1,3
"327",3,2,2,1,1,1,2,3
"328",3,2,3,1,1,1,2,3
"329",3,2,3,1,1,2,2,3
"330",3,3,3,1,1,1,2,3
"331",3,3,3,1,1,1,2,3
"332",3,3,3,1,1,1,2,2
"333",3,3,3,1,2,1,1,2
"334",3,3,3,1,2,1,1,2
"335",4,3,3,1,2,1,1,1
"336",4,3,3,2,2,1,1,2
"337",1,1,1,1,1,1,1,1
"338",2,1,2,1,1,1,1,1
"339",2,2,2,1,1,1,2,3
"340",3,2,2,1,1,1,1,3
"341",3,2,2,1,1,1,1,3
"342",3,2,2,1,1,1,1,3
"343",3,2,2,1,1,1,1,3
"344",3,2,2,1,1,1,1,3
"345",3,2,2,1,1,1,1,3
"346",3,2,2,1,1,1,1,3
"347",3,2,2,1,1,1,1,3
"348",3,2,2,1,1,1,1,3
"349",3,3,3,1,1,1,2,3
"350",3,2,3,1,1,1,2,3
"351",3,2,3,1,1,2,2,3
"352",3,3,3,1,1,1,2,3
"353",3,3,3,1,1,1,2,3
"354",3,3,3,1,2,1,2,3
"355",3,3,3,1,2,1,1,1
"356",3,3,3,1,2,1,1,1
"357",2,3,3,2,2,2,3,1
"358",2,2,2,1,1,1,1,3
"359",2,2,2,1,1,1,1,3
"360",3,2,2,1,1,1,1,3
"361",3,2,2,1,1,1,1,3
"362",3,2,2,1,1,1,2,3
"363",3,2,2,1,1,1,2,3
"364",3,2,2,1,1,1,1,3
"365",3,2,2,1,1,1,1,3
"366",3,3,2,1,1,1,1,3
"367",3,3,2,1,1,1,1,3
"368",3,3,2,1,1,1,1,3
"369",3,3,3,1,1,1,1,3
"370",3,3,3,1,1,1,1,3
"371",3,2,3,1,1,2,2,3
"372",3,2,3,1,1,1,2,3
"373",3,2,3,1,1,1,2,3
"374",3,3,3,1,1,1,2,3
"375",3,3,3,1,1,1,2,3
"376",3,3,3,1,2,1,1,3
"377",3,3,3,1,2,1,1,2
"378",2,3,3,2,2,2,3,1
"379",2,2,2,1,1,1,1,3
"380",3,2,2,1,1,1,1,3
"381",3,2,2,1,1,1,1,3
"382",3,2,2,1,1,1,2,3
"383",3,2,2,1,1,1,2,3
"384",3,2,2,1,1,1,2,3
"385",3,2,2,1,1,1,1,3
"386",3,3,2,1,1,1,1,3
"387",3,3,3,1,1,1,1,3
"388",3,3,3,1,1,1,1,3
"389",3,3,3,1,1,1,1,3
"390",3,3,3,1,1,1,1,3
"391",3,3,3,1,1,1,1,3
"392",3,2,3,1,1,1,1,3
"393",3,2,3,1,1,1,2,3
"394",3,2,3,1,1,1,1,3
"395",3,2,3,1,1,1,2,3
"396",3,3,3,1,1,1,2,3
"397",3,3,3,1,2,1,2,3
"398",3,3,3,1,2,1,1,3
"399",2,3,3,2,2,1,3,1
"400",3,2,2,1,1,1,1,3
"401",3,2,2,1,1,1,1,3
"402",3,2,2,1,1,1,1,3
"403",3,2,2,1,1,1,2,3
"404",3,2,2,1,1,1,1,3
"405",3,3,2,1,1,1,1,3
"406",3,2,2,1,1,1,1,3
"407",3,3,3,1,1,1,2,3
"408",3,3,3,1,1,1,2,3
"409",3,3,3,1,1,1,2,3
"410",3,3,3,1,1,1,1,3
"411",3,3,3,1,1,1,1,3
"412",3,3,3,1,1,1,1,3
"413",3,2,3,1,1,1,1,3
"414",3,2,3,1,1,1,1,3
"415",3,2,3,1,1,1,1,3
"416",3,3,3,1,1,1,1,3
"417",3,3,3,1,1,1,2,3
"418",3,3,3,1,2,1,2,3
"419",3,3,3,2,2,1,2,2
"420",2,3,2,2,2,2,3,2
"421",3,2,2,1,1,1,1,3
"422",3,2,2,1,1,1,1,3
"423",3,2,2,1,1,1,1,3
"424",3,2,2,1,1,1,1,3
