Formula	Mass	Initial estimation	Number of pixels	Assigned
C40H71O13P	829.42693584537	1.772119676021502e-08	2	True
C45H71O8P	809.45236274437	9.927228005335382e-05	5054	True
C46H87O9P	853.57247788089	-4.5037049742730695e-13	0	False
C43H84NO9P	828.55207678828	0.00048701675372065257	16546	True
C44H81NO8	790.55992507267	6.242225233412826e-06	379	True
C45H79O7P	801.5200483823301	0.0	0	False
C42H73O9P	791.46292742911	4.783558789465716e-08	8	True
C40H75O7P	737.4887482532499	2.715158472054128e-07	30	True
C32H60NO11P	704.3541052542	5.361073494749376e-08	7	True
C54H107NO5	888.77863205109	0.0	0	False
C36H65O15P	807.3698148921501	4.320225975309309e-08	4	True
C47H91NO3	756.66360229437	0.0	0	False
C40H76NO8P	768.49456190992	6.249176447679232e-05	6321	True
C43H85NO10	814.5810544421499	5.707751328398072e-17	1	False
C41H80NO10P	816.5156912794	4.843756694153096e-07	94	True
C44H84NO6P	792.56733292768	0.0001329640517242862	5637	True
C32H56NO12P	716.31771974532	9.131091714580668e-08	9	True
C44H83O13P	889.52083623261	0.0	0	False
C44H87O10P	845.56739250109	2.075049412578482e-10	2	False
C46H75O9P	841.4785774936499	0.0	0	False
C48H73O10P	879.45784204931	6.846096612064265e-07	61	True
C36H63O13P	773.36433558721	8.609454984550062e-09	1	True
C37H70NO10P	758.4374409567	8.359262351277115e-08	11	True
C46H85NO9	834.5861398219499	4.10561002246933e-07	38	True
C42H80NO9P	812.5207766592	5.292849773663035e-05	3031	True
C43H74NO10P	834.46874108578	6.933552464674441e-08	6	True
C42H76NO9P	808.48947653012	3.3345624234532654e-07	29	True
C43H68NO8P	796.43196165176	0.0	0	False
C36H64NO10P	740.39049076308	1.2757658816934724e-06	97	True
C36H62NO10P	738.3748406985401	8.146253614686955e-08	6	True
C34H67O10P	705.41089185569	9.092396936053232e-09	3	True
C50H100NO7P	896.6874480642	6.338092033927193e-19	1	False
C34H63O14P	765.35925020741	5.040420993527341e-08	5	True
C41H77O12P	831.47897141879	1.5983714240213013e-06	258	True
C40H78NO8P	770.5102119744599	0.0022088646909136866	26261	True
C47H82NO8P	858.5415121035401	2.138561400600529e-06	172	True
C46H88NO7P	836.59354767696	7.271822020287478e-11	2	False
C44H78NO8P	818.5102119744599	1.289212164086062e-05	952	True
C46H88NO9P	868.58337691736	3.194610201541215e-08	3	True
C39H69O16P	863.39602964143	8.712168003604264e-07	79	True
C38H79N2O6P	729.53128177053	0.0	0	False
C42H72NO10P	820.45309102124	2.587032970370724e-07	27	True
C33H57O15P	763.30721463399	0.0	0	False
C47H82NO10P	890.5313413439401	-2.010640270092896e-19	1	False
C42H79O10P	813.5047922429301	2.788563445300618e-06	516	True
C49H90NO8P	890.6041123617	0.0	0	False
C42H67O10P	801.41089185569	1.3999185774184613e-07	13	True
C43H79O8P	793.5149630025301	2.827362471327561e-06	241	True
C30H55O15P	725.29156456945	1.6577425796891423e-07	23	True
C41H70NO10P	806.4374409567	6.521220570016087e-08	6	True
C50H80NO8P	892.525862039	1.8938936310060894e-06	120	True
C38H77N2O7P	743.51054632619	0.0	0	False
C48H95NO4	788.68981704365	0.0	0	False
C43H77O14P	887.46880065919	2.7987662920642285e-08	2	True
C44H85NO4	730.61156672095	4.342778239261098e-07	53	True
C45H90NO9P	858.5990269819	1.4076847455237967e-08	2	True
C46H76NO8P	840.49456190992	0.0	0	False
C48H89O9P	879.58812794543	-2.5313031335530598e-12	0	False
C45H81O10P	851.52044230747	3.1348272606746134e-11	16	False
C32H54NO12P	714.30206968078	4.954211768679005e-08	5	True
C45H83O7P	805.55134851141	6.003221026697039e-05	2608	True
C44H89NO2	702.65303760963	0.0	0	False
C43H85NO5	734.60648134115	0.0	0	False
C48H95N2O6P	865.65648228685	0.0	0	False
C42H86NO7P	786.57789761242	8.783700150079795e-07	93	True
C39H69O15P	847.40111502123	8.735928714705608e-07	78	True
C42H71O10P	805.44219198477	9.373114753789733e-08	11	True
C40H77O12P	819.47897141879	1.305208380915425e-07	18	True
C40H76NO7P	752.49964728972	2.4543454863281887e-08	6	True
C46H83O9P	849.54117775181	3.649278549929611e-06	333	True
C38H70NO11P	786.4323555769	0.0	0	False
C34H63O10P	701.37959172661	2.816193440589418e-09	1	True
C43H81NO10	810.54975431307	9.298171689606057e-09	1	True
C40H80NO6P	740.5360327986	5.060157935537179e-08	7	True
C44H77O8P	803.49931293799	7.264376299624535e-08	8	True
C33H61O11P	703.3588562822699	5.115719648025734e-08	6	True
C40H73O9P	767.46292742911	9.927849081351299e-09	1	True
C44H85NO3	714.61665210075	0.0	0	False
C48H83O9P	873.54117775181	1.1152794436121323e-08	1	True
C46H91NO3	744.66360229437	-1.0791258004205093e-18	0	False
C45H89O9P	843.58812794543	0.0	0	False
C38H73N2O7P	739.47924619711	3.101163200712774e-08	6	True
C50H101NO4	818.73676723727	0.0	0	False
C46H81O9P	847.52552768727	1.0415166616520905e-05	886	True
C50H101NO3	802.74185261707	0.0	0	False
C42H73O8P	775.46801280891	1.0282686887028893e-07	11	True
C42H85O7P	771.56699857595	4.352203510765747e-06	668	True
C32H55O12P	701.30682070885	7.23929577810554e-08	9	True
C43H81O7P	779.53569844687	1.0814221265391575e-08	1	True
C48H84NO7P	856.5622475478799	1.197402881129637e-18	2	False
C37H65O10P	739.39524179115	8.227714960412575e-09	1	True
C52H101NO4	842.73676723727	0.0	0	False
C39H77N2O7P	755.51054632619	0.0	0	False
C37H75N2O7P	729.49489626165	1.0942274485579966e-06	47	True
C46H93O9P	859.61942807451	0.0	0	False
C48H88NO8P	876.58846229716	4.0033773164903704e-05	2278	True
C41H71O8P	761.45236274437	0.0016853713821519034	24960	True
C41H81O9P	787.52552768727	9.38341334535173e-07	98	True
C48H87O9P	877.57247788089	2.972194912412228e-11	2	False
C38H75N2O7P	741.49489626165	1.0992985823815078e-07	15	True
C43H85O12P	863.5415716769501	0.0	0	False
C45H74NO7P	810.48399722518	8.228817063890972e-07	65	True
C39H72NO10P	784.45309102124	8.440801019398659e-08	9	True
C43H78NO8P	806.5102119744599	0.004477390922772875	26607	True
C40H79O7P	741.5200483823301	2.1713738727244735e-08	2	True
C43H70NO8P	798.4476117163	0.0	0	False
C45H89O8P	827.59321332523	0.0	0	False
C39H75O12P	805.46332135425	2.51936947203872e-08	2	True
C45H86NO10P	870.56264147302	2.1942633964896783e-08	3	True
C34H62NO12P	746.36466993894	1.444300155079541e-08	2	True
C34H62NO11P	730.36975531874	7.164031151600551e-09	1	True
C42H80NO10P	828.5156912794	0.00011455678889661827	4879	True
C38H63O8P	717.38976248621	8.340831532815943e-08	8	True
C38H73O12P	791.44767128971	0.0	0	False
C36H65O14P	791.37490027195	3.5375230314738787e-08	3	True
C47H88NO8P	864.58846229716	0.0	0	False
C49H95NO10	896.65930476485	5.4292980193107295e-08	2	True
C48H75O10P	881.47349211385	6.652838739247858e-08	7	True
C46H93NO3	746.6792523589099	0.0	0	False
C46H93NO4	762.6741669791099	8.255362905605942e-19	1	False
C47H76NO8P	852.49456190992	0.0009065884637602881	18594	True
C43H72NO7P	784.46834716064	1.2206190903917124e-07	10	True
C47H89NO8	834.6225253308301	3.490972019577263e-05	1870	True
C45H73O10P	843.45784204931	0.00024184238370391525	12775	True
C35H69O9P	703.43162730003	0.0	0	False
C42H81O13P	863.5051861680699	8.772471086297122e-09	1	True
C45H77O8P	815.49931293799	1.4089701397612795e-06	166	True
C40H68NO10P	792.4217908921601	4.206781064956106e-08	6	True
C44H88NO11P	876.57320615776	-9.620463786571769e-11	5	False
C37H73O12P	779.44767128971	1.4432195462074688e-07	15	True
C43H82NO10P	842.5313413439401	1.465398155927207e-07	13	True
C40H70NO10P	794.4374409567	2.756252626771968e-07	30	True
C35H66NO9P	714.41122620742	2.9455403291034796e-06	286	True
C44H87NO5	748.62213140569	0.0	0	False
C43H72NO6P	768.47343254044	8.762033413785112e-09	3	True
C36H69N2O7P	711.44794606803	8.41409641234854e-07	118	True
