Formula	Mass	Initial estimation	Number of pixels	Assigned
C42H77O9P	795.49422755819	-4.529930903785289e-18	0	False
C45H91O7P	813.61394876957	0.0	0	False
C39H80NO7P	744.5309474188	2.3428774705612505e-18	1	False
C45H85O12P	887.5415716769501	0.0	0	False
C47H91N2O6P	849.62518215777	0.0004902684382937023	1205	True
C41H71O13P	841.42693584537	0.0	0	False
C48H90NO8P	878.6041123617	0.0	0	False
C41H77O7P	751.50439831779	0.0	0	False
C45H88NO10P	872.5782915375601	8.469243599722828e-19	1	False
C48H92NO8P	880.61976242624	0.0	0	False
C36H70NO8P	714.4476117163	0.0	0	False
C46H90NO9P	870.5990269819	5.004403191479408e-07	1	True
C38H77O7P	715.50439831779	0.0	0	False
C40H79NO9	756.53918962833	1.5286325271814988e-06	5	True
C35H59O16P	805.31777931873	0.0	0	False
C46H88NO10P	884.5782915375601	0.0	0	False
C42H84NO13P	880.53173526908	0.0	0	False
C36H71O8P	701.45236274437	0.0	0	False
C42H70NO10P	818.4374409567	0.0	0	False
C40H78NO9P	786.5051265946599	0.0	0	False
C37H64NO10P	752.39049076308	0.0	0	False
C41H79O12P	833.49462148333	0.0	0	False
C38H73N2O6P	723.48433157691	6.0220381172301585e-19	1	False
C37H69O8P	711.43671267983	0.0	0	False
C43H70NO10P	830.4374409567	7.429490146224037e-07	1	True
C32H57O15P	751.30721463399	7.77908819155756e-07	3	True
C41H81O7P	755.53569844687	3.024365407987448e-07	1	True
C44H77O13P	883.47388603899	0.0	0	False
C34H57O15P	775.30721463399	1.0705197785528401e-18	1	False
C48H100NO6P	856.692533444	0.0	0	False
C46H84NO9P	864.55207678828	0.0	0	False
C42H72NO9P	804.45817640104	0.0	0	False
C46H83O10P	865.53609237201	0.0	0	False
C44H72NO10P	844.45309102124	7.633812266234872e-07	3	True
C43H81O9P	811.52552768727	0.0	0	False
C39H71O7P	721.45744812417	3.83137600702088e-18	1	False
C33H60NO10P	700.359190634	0.0	0	False
C40H71O8P	749.45236274437	0.0	0	False
C52H105NO5	862.76298198655	0.0	0	False
C41H83O7P	757.55134851141	1.2123138115068093e-06	7	True
C40H77O9P	771.49422755819	0.0	0	False
C33H60NO12P	732.3490198744	0.0	0	False
C43H77O8P	791.49931293799	0.0	0	False
C40H77NO10	770.51845418399	1.721382277543954e-05	42	True
C33H59O16P	781.31777931873	0.0	0	False
C33H60NO11P	716.3541052542	0.0	0	False
C43H73O10P	819.45784204931	2.672554723739745e-19	1	False
C45H85O10P	855.5517424365501	0.0	0	False
C40H75NO8	736.51297487905	0.0	0	False
C46H95O9P	861.6350781390499	0.0	0	False
C39H74NO8P	754.47891184538	0.0	0	False
C46H91NO4	760.65851691457	0.0	0	False
C46H78NO8P	842.5102119744599	0.0	0	False
C39H71O10P	769.44219198477	0.0	0	False
C46H86NO10P	882.56264147302	9.825985973498141e-19	1	False
C35H62NO11P	742.36975531874	0.0	0	False
C32H55O15P	749.29156456945	0.0	0	False
C46H83O8P	833.54626313161	1.9909994651990792e-07	1	True
C47H89O10P	883.58304256563	0.0	0	False
C34H61O13P	747.3486855226699	0.0	0	False
C44H85O8P	811.56191319615	1.0402517589327575e-06	4	True
C43H87NO3	704.63230216529	0.0	0	False
C45H76NO6P	796.5047326695201	0.0	0	False
C43H79O10P	825.5047922429301	0.0	0	False
C40H77O8P	755.49931293799	0.0	0	False
C44H82NO11P	870.52625596414	0.0	0	False
C41H78NO8P	782.5102119744599	0.0	0	False
C30H55O14P	709.29664994925	4.357061807925947e-07	2	True
C53H105NO5	874.76298198655	0.0	0	False
C34H59O15P	777.32286469853	0.0	0	False
C38H67O10P	753.41089185569	0.0	0	False
C40H75O8P	753.4836628734499	1.7451978327891287e-07	2	True
C35H68NO9P	716.42687627196	3.621323256189728e-07	2	True
C47H87NO9	848.60178988649	0.0	0	False
C43H75O8P	789.4836628734499	2.8847896426703582e-05	170	True
C46H76NO7P	824.49964728972	0.0	0	False
C41H69O13P	839.41128578083	0.0	0	False
C44H86NO6P	794.58298299222	0.0	0	False
C41H78NO7P	766.5152973542599	0.0	0	False
C37H73O8P	715.46801280891	0.0	0	False
C32H61O17P	787.32834400347	0.0	0	False
C48H88NO9P	892.58337691736	0.0	0	False
C33H63O17P	801.34399406801	0.0	0	False
C46H82NO10P	878.5313413439401	0.0	0	False
C48H81O10P	887.52044230747	0.0	0	False
C33H57NO13	714.34669739919	0.0	0	False
C38H72NO7P	724.46834716064	0.0	0	False
C41H82NO7P	770.5465974833401	7.075822107669939e-19	1	False
C34H63O17P	813.34399406801	0.0	0	False
C37H75O9P	733.4785774936499	0.0	0	False
C44H78NO9P	834.5051265946599	0.0	0	False
C39H70NO8P	750.4476117163	0.0	0	False
C47H90NO10P	898.5939416021	7.655676536975234e-19	5	False
C42H81NO4	702.58026659187	0.0	0	False
C45H81O8P	819.53061306707	5.570095003986074e-07	3	True
C32H57O14P	735.31230001379	0.0	0	False
C38H75O10P	761.47349211385	0.0	0	False
C46H95O8P	845.6401635188499	0.0	0	False
