Formula	Mass	Initial proportion	Assigned
C49H88NO8P	888.5885	-0.0	False
C39H75O10P	773.4735	-0.0	False
C46H75O10P	857.4735	-0.0	False
C47H94NO9P	886.6303	-0.0	False
C41H69O10P	791.4265	-0.0	False
C44H87O8P	813.5776	-0.0	False
C40H74NO10P	798.4687	-0.0	False
C41H75NO8	748.513	-0.0	False
C53H105NO4	858.7681	-0.0	False
C41H65O8P	755.4054	-0.0	False
C43H79NO9	792.5392	-0.0	False
C43H73O7P	771.4731	-0.0	False
C56H109NO4	898.7994	-0.0	False
C44H91N2O6P	813.6252	-0.0	False
C36H73O9P	719.4629	-0.0	False
C46H80NO6P	812.536	-0.0	False
C38H74NO7P	726.484	-0.0	False
C44H80NO11P	868.5106	-0.0	False
C43H83N2O6P	793.5626	-0.0	False
C29H53O15P	711.2759	-0.0	False
C45H90NO7P	826.6092	-0.0	False
C46H74NO8P	838.4789	-0.0	False
C48H95NO10	884.6593	-0.0	False
C35H67O13P	765.3956	-0.0	False
C45H77O13P	895.4739	-0.0	False
C44H83O8P	809.5463	-0.0	False
C40H70NO9P	778.4425	-0.0	False
C36H72NO9P	732.4582	-0.0	False
C38H73O7P	711.4731	-0.0	False
C35H69O10P	719.4265	-0.0	False
C38H75O7P	713.4887	-0.0	False
C39H75O7P	725.4887	-0.0	False
C38H64NO10P	764.3905	-0.0	False
C40H80NO7P	756.5309	-0.0	False
C37H75N2O6P	713.5	-0.0	False
C43H75O13P	869.4582	-0.0	False
C43H83NO8	780.5756	-0.0	False
C41H84NO7P	772.5622	-0.0	False
C45H82NO7P	818.5466	-0.0	False
C34H60NO11P	728.3541	0.0	False
C44H89N2O6P	811.6095	-0.0	False
C43H70NO7P	782.4527	-0.0	False
C48H72NO10P	892.4531	-0.0	False
C33H57NO14	730.3416	-0.0	False
C44H76NO8P	816.4946	-0.0	False
C35H70NO8P	702.4476	-0.0	False
C34H60NO10P	712.3592	-0.0	False
C47H88NO10P	896.5783	-0.0	False
C36H63O10P	725.3796	-0.0	False
C46H86NO9P	866.5677	-0.0	False
C49H98NO8P	898.6667	-0.0	False
C52H103NO5	860.7473	-0.0	False
C43H72NO10P	832.4531	-0.0	False
C50H99NO3	800.7262	-0.0	False
C47H93N2O6P	851.6408	0.0205	True
C47H92NO9P	884.6147	-0.0	False
C49H101N2O6P	883.7034	-0.0	False
C42H71O8P	773.4524	-0.0	False
C48H97N2O6P	867.6721	-0.0	False
C34H63O12P	733.3694	-0.0	False
C48H84NO8P	872.5572	-0.0	False
C46H89NO4	758.6429	-0.0	False
C47H86NO10P	894.5626	-0.0	False
C48H95NO5	804.6847	-0.0	False
C47H77O8P	839.4993	-0.0	False
C42H73O10P	807.4578	-0.0	False
C50H99NO4	816.7211	-0.0	False
C45H83O8P	821.5463	-0.0	False
C42H80NO7P	780.5309	-0.0	False
C40H72NO10P	796.4531	-0.0	False
C48H78NO10P	898.5	-0.0	False
C43H76NO9P	820.4895	-0.0	False
C37H67O16P	837.3804	-0.0	False
C44H80NO9P	836.5208	-0.0	False
C44H80NO10P	852.5157	-0.0	False
C47H88NO7P	848.5935	-0.0	False
C45H83O12P	885.5259	-0.0	False
C50H101NO5	834.7317	-0.0	False
C43H78NO10P	838.5	-0.0	False
C41H75O13P	845.4582	-0.0	False
C38H76NO8P	744.4946	-0.0	False
C37H71O13P	793.4269	-0.0	False
C37H74NO8P	730.4789	-0.0	False
C39H77N2O6P	739.5156	-0.0	False
C36H66NO8P	710.4163	-0.0	False
C37H77N2O6P	715.5156	-0.0	False
C40H81N2O7P	771.5418	-0.0	False
C41H70NO8P	774.4476	-0.0	False
C43H81O10P	827.5204	-0.0	False
C41H79N2O6P	765.5313	-0.0	False
C44H88NO7P	812.5935	-0.0	False
C47H89O8P	851.5932	-0.0	False
C37H67O13P	789.3956	-0.0	False
C49H86NO8P	886.5728	-0.0	False
C47H93NO4	774.6742	-0.0	False
C44H85O10P	843.5517	-0.0	False
C48H82NO6P	838.5517	-0.0	False
C39H76NO8P	756.4946	-0.0	False
C39H67O13P	813.3956	-0.0	False
C32H54NO13P	730.297	-0.0	False
C45H91N2O6P	825.6252	-0.0	False
C36H71O10P	733.4422	-0.0	False
C44H89O9P	831.5881	-0.0	False
C45H77O10P	847.4891	-0.0	False
C47H95NO4	776.6898	-0.0	False
C47H95NO5	792.6847	-0.0	False
C46H94NO7P	842.6405	-0.0	False
C39H74NO9P	770.4738	-0.0	False
C44H78NO7P	802.5153	-0.0	False
C45H70NO8P	822.4476	-0.0	False
C45H83NO9	820.5705	-0.0	False
C47H80NO10P	888.5157	-0.0	False
C49H99NO3	788.7262	-0.0	False
C46H92NO9P	872.6147	-0.0	False
C36H70NO10P	746.4374	-0.0	False
C43H77O13P	871.4739	-0.0	False
C46H80NO7P	828.5309	-0.0	False
C40H79O8P	757.515	-0.0	False
C44H87NO3	716.6323	-0.0	False
C44H74NO8P	814.4789	-0.0	False
C36H67O10P	729.4109	0.0	False
C48H94NO7P	866.6405	-0.0	False
C42H82NO9P	814.5364	-0.0	False
C41H83N2O6P	769.5626	0.0117	True
C38H69O10P	755.4265	-0.0	False
C37H63O8P	705.3898	-0.0	False
C36H62NO13P	786.3596	-0.0	False
C44H77O9P	819.4942	-0.0	False
C36H66NO10P	742.4061	-0.0	False
C46H89O8P	839.5932	0.0024	True
C45H87NO4	744.6272	-0.0	False
C44H89NO3	718.648	-0.0	False
C38H73O9P	743.4629	-0.0	False
C31H55O15P	737.2916	-0.0	False
C38H66NO10P	766.4061	-0.0	False
C38H72NO9P	756.4582	-0.0	False
C51H101NO4	830.7368	-0.0	False
C38H74NO8P	742.4789	-0.0	False
C43H74NO7P	786.484	-0.0	False
C37H70NO8P	726.4476	-0.0	False
C44H83NO9	808.5705	-0.0	False
C43H85O7P	783.567	-0.0	False
C42H77O9P	795.4942	-0.0	False
C45H91O7P	813.6139	-0.0	False
C39H80NO7P	744.5309	-0.0	False
C45H85O12P	887.5416	-0.0	False
C47H91N2O6P	849.6252	0.0037	True
C41H71O13P	841.4269	-0.0	False
C48H90NO8P	878.6041	-0.0	False
C41H77O7P	751.5044	-0.0	False
C45H88NO10P	872.5783	-0.0	False
C48H92NO8P	880.6198	-0.0	False
C36H70NO8P	714.4476	-0.0	False
C46H90NO9P	870.599	-0.0	False
C38H77O7P	715.5044	-0.0	False
C40H79NO9	756.5392	-0.0	False
C35H59O16P	805.3178	-0.0	False
C46H88NO10P	884.5783	-0.0	False
C42H84NO13P	880.5317	-0.0	False
C36H71O8P	701.4524	-0.0	False
C42H70NO10P	818.4374	-0.0	False
C40H78NO9P	786.5051	-0.0	False
C37H64NO10P	752.3905	-0.0	False
C41H79O12P	833.4946	-0.0	False
C38H73N2O6P	723.4843	-0.0	False
C37H69O8P	711.4367	-0.0	False
C43H70NO10P	830.4374	-0.0	False
C32H57O15P	751.3072	-0.0	False
C41H81O7P	755.5357	-0.0	False
C44H77O13P	883.4739	-0.0	False
C34H57O15P	775.3072	-0.0	False
C48H100NO6P	856.6925	-0.0	False
C46H84NO9P	864.5521	-0.0	False
C42H72NO9P	804.4582	-0.0	False
C46H83O10P	865.5361	-0.0	False
C44H72NO10P	844.4531	-0.0	False
C43H81O9P	811.5255	-0.0	False
C39H71O7P	721.4574	-0.0	False
C33H60NO10P	700.3592	-0.0	False
C40H71O8P	749.4524	-0.0	False
C52H105NO5	862.763	-0.0	False
C41H83O7P	757.5513	-0.0	False
C40H77O9P	771.4942	-0.0	False
C33H60NO12P	732.349	-0.0	False
C43H77O8P	791.4993	-0.0	False
C40H77NO10	770.5185	-0.0	False
C33H59O16P	781.3178	-0.0	False
C33H60NO11P	716.3541	-0.0	False
C43H73O10P	819.4578	-0.0	False
C45H85O10P	855.5517	-0.0	False
C40H75NO8	736.513	-0.0	False
C46H95O9P	861.6351	-0.0	False
C39H74NO8P	754.4789	-0.0	False
C46H91NO4	760.6585	-0.0	False
C46H78NO8P	842.5102	-0.0	False
C39H71O10P	769.4422	-0.0	False
C46H86NO10P	882.5626	-0.0	False
C35H62NO11P	742.3698	-0.0	False
C32H55O15P	749.2916	-0.0	False
C46H83O8P	833.5463	-0.0	False
C47H89O10P	883.583	-0.0	False
C34H61O13P	747.3487	-0.0	False
C44H85O8P	811.5619	-0.0	False
C43H87NO3	704.6323	-0.0	False
C45H76NO6P	796.5047	-0.0	False
C43H79O10P	825.5048	-0.0	False
C40H77O8P	755.4993	-0.0	False
C44H82NO11P	870.5263	-0.0	False
C41H78NO8P	782.5102	-0.0	False
C30H55O14P	709.2966	-0.0	False
C53H105NO5	874.763	-0.0	False
C34H59O15P	777.3229	-0.0	False
C38H67O10P	753.4109	-0.0	False
C40H75O8P	753.4837	-0.0	False
C35H68NO9P	716.4269	-0.0	False
C47H87NO9	848.6018	-0.0	False
C43H75O8P	789.4837	0.0013	True
C46H76NO7P	824.4996	-0.0	False
C41H69O13P	839.4113	-0.0	False
C44H86NO6P	794.583	-0.0	False
C41H78NO7P	766.5153	-0.0	False
C37H73O8P	715.468	-0.0	False
C32H61O17P	787.3283	-0.0	False
C48H88NO9P	892.5834	-0.0	False
C33H63O17P	801.344	-0.0	False
C46H82NO10P	878.5313	-0.0	False
C48H81O10P	887.5204	-0.0	False
C33H57NO13	714.3467	-0.0	False
C38H72NO7P	724.4683	-0.0	False
C41H82NO7P	770.5466	-0.0	False
C34H63O17P	813.344	-0.0	False
C37H75O9P	733.4786	-0.0	False
C44H78NO9P	834.5051	-0.0	False
C39H70NO8P	750.4476	-0.0	False
C47H90NO10P	898.5939	-0.0	False
C42H81NO4	702.5803	-0.0	False
C45H81O8P	819.5306	-0.0	False
C32H57O14P	735.3123	-0.0	False
C38H75O10P	761.4735	-0.0	False
C46H95O8P	845.6402	-0.0	False
C37H73N2O6P	711.4843	-0.0	False
C43H87NO4	720.6272	-0.0	False
C43H82NO7P	794.5466	-0.0	False
C41H66NO8P	770.4163	-0.0	False
C36H65O10P	727.3952	-0.0	False
C45H94NO7P	830.6405	-0.0	False
C38H66NO8P	734.4163	-0.0	False
C38H71NO9	724.4766	-0.0	False
C41H79O8P	769.515	-0.0	False
C35H66NO10P	730.4061	-0.0	False
C43H82NO9P	826.5364	-0.0	False
C44H85O12P	875.5416	-0.0	False
C43H77O10P	823.4891	-0.0	False
C45H93N2O6P	827.6408	-0.0	False
C39H77O12P	807.479	-0.0	False
C40H79O9P	773.5099	-0.0	False
C44H83O12P	873.5259	-0.0	False
C49H92NO8P	892.6198	-0.0	False
C42H79NO8	764.5443	-0.0	False
C44H88NO9P	844.5834	-0.0	False
C36H73N2O7P	715.4792	-0.0	False
C47H81O8P	843.5306	-0.0	False
C49H82NO8P	882.5415	-0.0	False
C40H79O12P	821.4946	-0.0	False
C43H80NO7P	792.5309	-0.0	False
C48H77O10P	883.4891	-0.0	False
C46H82NO7P	830.5466	-0.0	False
C42H81NO8	766.5599	-0.0	False
C40H75O13P	833.4582	-0.0	False
C32H55O16P	765.2865	-0.0	False
C43H76NO8P	804.4946	-0.0	False
C36H66NO11P	758.4011	-0.0	False
C45H87NO3	728.6323	0.0	False
C41H80NO7P	768.5309	-0.0	False
C39H70NO7P	734.4527	-0.0	False
C49H99NO4	804.7211	-0.0	False
C41H76NO8P	780.4946	-0.0	False
C48H82NO8P	870.5415	-0.0	False
C44H87NO8	796.6069	-0.0	False
C44H72NO8P	812.4633	-0.0	False
C40H68NO8P	760.432	-0.0	False
C35H64NO11P	744.3854	-0.0	False
C37H68NO8P	724.432	-0.0	False
C45H82NO10P	866.5313	-0.0	False
C42H81O8P	783.5306	-0.0	False
C44H83O9P	825.5412	-0.0	False
C48H91NO9	864.6331	-0.0	False
C44H73O8P	799.468	-0.0	False
C48H85O9P	875.5568	-0.0	False
C46H93N2O6P	839.6408	-0.0	False
C48H93NO10	882.6437	-0.0	False
C37H71O8P	713.4524	0.0005	True
C42H81NO10	798.5498	-0.0	False
C46H87O8P	837.5776	-0.0	False
C45H89O10P	859.583	0.0	False
C39H73O10P	771.4578	-0.0	False
C43H81O12P	859.5103	0.0	False
C25H49O19P3	785.1718	-0.0	False
C44H80NO8P	820.5259	0.0491	True
C42H83NO4	704.5959	-0.0	False
C46H88NO8P	852.5885	-0.0	False
C43H67O8P	781.4211	-0.0	False
C39H75O13P	821.4582	-0.0	False
C36H65N3O15P2	880.3528	-0.0	False
C38H74NO9P	758.4738	-0.0	False
C41H78NO10P	814.5	-0.0	False
C43H87O7P	785.5826	-0.0	False
C43H84NO7P	796.5622	-0.0	False
C45H86NO6P	806.583	-0.0	False
C34H59O16P	793.3178	-0.0	False
C38H71O13P	805.4269	-0.0	False
C38H75N2O6P	725.5	-0.0	False
C34H57O16P	791.3021	-0.0	False
C48H82NO7P	854.5466	-0.0	False
C48H87O10P	893.5674	-0.0	False
C47H93O10P	887.6143	-0.0	False
C33H61O12P	719.3538	-0.0	False
C48H96NO7P	868.6561	-0.0	False
C33H59O11P	701.3432	-0.0	False
C46H89NO3	742.648	-0.0	False
C38H78NO7P	730.5153	-0.0	False
C43H85N2O6P	795.5782	-0.0	False
C40H80NO13P	852.5004	-0.0	False
C42H82NO6P	766.5517	-0.0	False
C45H87O9P	841.5725	-0.0	False
C31H55O14P	721.2966	-0.0	False
