X	Y	PC(38:1)	PA(44:0)	PC(38:0)
1	16	8603.599608401284	2468.684505228461	1162.615331577651
1	17	9509.331883712113	2141.66512917107	1065.8358124591248
1	18	7308.307945304547	1505.7827746121404	877.4444313496153
1	19	11512.976412256354	1759.478384774687	1023.7214225667943
1	20	1148.4186942999263	4402.4169972522495	1023.7044688998113
1	21	1441.1049874632815	3720.793379333984	1004.2674850894359
1	22	1205.5153354798192	4134.056212689633	798.6552184098867
1	23	1092.1504192209854	5513.599295659805	334.0540761249998
1	24	1182.0877113008783	3302.831960882466	1482.280874149827
1	25	998.2221671287896	3243.830134189391	809.4815916843198
1	26	1023.7332428401204	3674.629265527024	965.2931267960146
1	27	1293.5669529148943	5144.285213295859	920.8637850444854
1	28	901.8220361444661	3878.6218881954496	768.1600693015831
1	29	886.2080397028187	3691.1581009429597	1003.773370401388
1	30	842.4441851376258	4330.390841855781	782.2423149769955
1	31	1513.2608475788236	4396.4481871004455	1173.2323550752674
1	32	897.6606006290209	4590.719837291922	1018.2520627935726
1	33	806.7666360977274	5044.420429748678	802.7525408047798
1	34	882.6778371971545	3838.993922444949	1212.1116111123767
1	35	1366.1721965810211	3797.3779139562316	461.19274244299595
1	36	932.0908436932116	3164.299440563821	1192.0528336503796
1	37	1161.4711100599068	3624.8496107836745	959.0169384233665
1	38	1132.3661706710673	4812.450797756762	1144.066140082787
1	39	1079.0656651787544	4599.453425997884	1336.4680732323714
2	0	11027.046100048416	1996.567862711203	1508.9281435555372
2	1	8734.441005551467	2113.5456399068257	1137.4034541266676
2	2	9084.788144881133	1992.2621237068934	1043.9413299476882
2	3	9086.380176067072	1758.0814740373394	1389.6683080599237
2	4	13714.608863438883	2365.6049465596284	1107.3627436667873
2	5	12577.646016896539	2896.0070306892258	540.2086631764633
2	6	11570.898744421258	1901.4653243766559	428.05055121913216
2	7	8288.448978005388	3045.9128019419563	694.9578561824958
2	8	6787.939250679081	2780.759396260033	545.5235446430089
2	9	10552.259484319417	2088.2258076169405	1120.513883386977
2	10	9893.521879058175	2228.088066810639	760.4418199343918
2	11	11673.081553016842	2189.8356606472043	1446.5261489806974
2	12	11596.873671811398	2082.2787586097284	1076.9353582494393
2	13	12468.929897167656	1745.946065017201	1275.7905307027158
2	14	13937.348689558354	2111.7447330477717	1016.1020715008334
2	15	10944.051388861753	1593.9829915953653	747.9399133049559
2	16	9662.787002214718	1823.9135140207432	1035.3083614783181
2	17	8385.640434290852	2082.458112665503	1050.079649028405
2	18	10790.661686201032	2048.029669460718	638.4331597453786
2	19	11018.075368196396	2669.254179786523	1014.7125811643816
2	20	1188.7186781866867	5046.360864892137	933.1652863715111
2	21	804.1310280928182	4840.575741862083	475.59332072442385
2	22	1270.8024905542436	5761.1613433064085	1044.1025140393713
2	23	775.878316379942	3420.412736170655	904.3146349642794
2	24	694.6505224968358	4081.8084559466583	1047.6416166316346
2	25	1105.4794595340572	3820.593706116389	1104.9662106898006
2	26	718.6356531323304	5677.122924734266	874.7639470283445
2	27	949.5483450007056	4676.985423527564	945.317328087087
2	28	934.7370002557752	4358.028076596153	759.9883611081672
2	29	1428.3533560700494	4010.822256128125	947.5568655939379
2	30	907.3211684187326	4597.482236593894	1229.9858788452555
2	31	1001.6229058586532	4265.883801700126	756.3416147232173
2	32	1288.9442015119562	4576.159834154997	1169.4455412162931
2	33	887.3059317014721	2895.481417654069	497.88194532342345
2	34	1274.2459298443155	4117.653880982961	717.5333799377321
2	35	1057.021201345017	3508.5805503524157	973.8743558590845
2	36	750.5774804855175	3802.3456900066963	829.4624469322521
2	37	1517.0632153465826	3388.7124098059594	793.2210416050066
2	38	931.3852920717147	2388.770040218104	916.5313979734839
2	39	1087.4515385485026	4310.246498773323	1311.4425268011469
3	0	12210.2652393761	2184.2406681374673	680.103579869868
3	1	8992.597337251651	2517.629929535907	978.8325559786892
3	2	11423.032610139318	2699.257064066224	1215.7642460798008
3	3	7362.909952699698	1628.5825394910082	878.186279902288
3	4	9401.399078217737	2229.3134500581887	1362.4123571781727
3	5	7211.856093250733	2335.139052055952	821.1759009445781
3	6	8260.279633243552	2595.65590759386	918.3924321981693
3	7	10413.231467762089	1781.254864658927	1151.2796442113436
3	8	10320.383666388223	2082.546774013553	1206.118085691552
3	9	9259.774295609352	2136.717816614315	1275.4182532888487
3	10	9734.333180605454	2122.4677523499304	903.1343155739294
3	11	11555.20719435101	1820.2905964012875	1218.9653215755766
3	12	7950.466346479167	1760.5612309658684	1035.8474171599469
3	13	10016.439630259752	3683.3543866718296	18.167315350117335
3	14	10208.652988143112	1902.9650938070656	811.892209961284
3	15	10072.04081091299	2039.8736334112584	1150.6965909044427
3	16	9259.457832365924	1779.5191566553062	1605.592397714568
3	17	10466.539884092039	1304.6768963111747	1179.2732859297619
3	18	7959.024722051779	1675.8010781643172	607.3766816246449
3	19	9677.762547061006	1827.4511495712882	863.4996397169404
3	20	667.982155245303	4996.1513250113885	776.7036074540983
3	21	978.2577490995286	3189.1891797566914	436.5914108258597
3	22	1209.8319757957577	5387.767923271894	816.936193897333
3	23	910.0355162459612	3428.5011344960617	742.255123769885
3	24	816.8770588252056	4441.25188228061	802.4852737162288
3	25	1315.126673915839	3659.379583461986	1147.4048424878956
3	26	745.6964281872387	4249.4850820321135	891.0613911990135
3	27	767.808605147009	5136.108690319028	1346.76832260966
3	28	891.3209678131429	2099.369218833158	1195.779269034988
3	29	1348.4431506766016	5463.144840743066	1241.3369598251902
3	30	1189.7037215712962	5299.916073397801	1029.327166309269
3	31	1308.4278589613607	3958.293228408087	-0.0
3	32	1122.9252759771127	3919.5584153209106	529.0167811025757
3	33	1466.5002296204761	5134.127960751542	967.1375497253147
3	34	936.1156494906492	4217.768979250134	1079.470292183981
3	35	1043.6534180843596	3489.3585233732515	764.1391565172693
3	36	707.7015558530562	3016.59785070851	817.8855289117272
3	37	1052.0469110449928	4204.53985594819	724.1301130574617
3	38	770.4587819667664	6134.456081682783	1053.1225893484468
3	39	1178.1088738641129	3070.2944569768015	905.53145591893
4	0	12009.908665645824	1611.3062511704852	1254.7173621800503
4	1	9723.1237067853	1997.7600428569758	296.7966176347031
4	2	11734.336197426535	2270.4626276638137	468.3372855132237
4	3	10192.28435080895	1838.2654230007172	447.18962445239754
4	4	15209.919139282285	2135.4045248983944	986.7576743364976
4	5	9329.298076528225	2467.4162984595946	767.3276450944059
4	6	7579.853320007556	2148.0812190797596	1097.861030800173
4	7	13134.993714496137	1821.663841396025	1337.9222804786828
4	8	6398.70545103544	2422.2893464226877	1131.148242437513
4	9	12318.923230331344	1623.1935133509428	711.3641390895572
4	10	11806.506926939639	2476.4139084495932	-0.0
4	11	11890.250048880791	2083.559067255764	765.9087360774744
4	12	13756.379232307741	1629.9447407305706	893.4810858549888
4	13	9965.997397891444	2036.5032960245717	1559.4420085857205
4	14	8093.975884327578	1339.7524596588903	1274.8750915054943
4	15	10511.061620549463	2488.959557925816	1045.980299550032
4	16	9699.770563065196	1915.6021842271202	968.5629370079336
4	17	9075.160664788356	2424.608023819943	1216.74012455581
4	18	12477.115576253953	1852.3861926645827	172.4875323973588
4	19	7102.164472545172	2095.0948724547466	953.4851899351547
4	20	1039.0516742989819	3013.788671594095	920.6420319936595
4	21	950.6932235074759	4727.048895663113	1277.204843029635
4	22	1260.4049960286577	4446.64607676482	899.6698390402954
4	23	1188.7294231408061	3600.25527579559	822.9457266991129
4	24	1236.1948371944889	3785.3532558421934	894.89983117005
4	25	1046.1886618818346	4448.664123684798	1034.1569552826636
4	26	959.9161361843784	3552.2725464986797	776.4957868571381
4	27	1239.9457644461963	3904.343666610998	639.4442943247448
4	28	1087.2945939898952	4642.203671360913	1145.5126240599043
4	29	1396.1739405855444	6148.3854826589	1230.7820910927169
4	30	905.2621156274776	4125.116965184906	1097.7662626264569
4	31	1329.35840060267	5073.930329208098	1145.082200534996
4	32	742.3284721241598	2810.0518728032666	709.5556947897068
4	33	1087.2963827298565	4456.603473677443	801.4269318739966
4	34	1025.6909977695368	4877.400937220624	918.9777603527176
4	35	1391.4875106908607	4114.849585369218	971.3753627007944
4	36	1164.1351792783657	4758.574469972191	914.5743503260434
4	37	1089.8779700699235	3994.1199628301997	1180.1840771901268
4	38	1626.5629431225495	3799.307454492073	1246.6334194523636
4	39	1277.8152259010812	5140.890739923517	979.8775668603141
5	0	11091.370080292627	1270.3317371634432	552.3333873705651
5	1	11443.109665873322	2260.029236012672	1097.1734553914503
5	2	8741.306495482073	2640.5716247714986	47.56465096822165
5	3	9416.264349385305	2198.21788726779	1383.5988097324039
5	4	6526.844403208335	2155.261490840133	875.7040006013314
5	5	12348.940210814493	1887.1590138218419	762.849033025881
5	6	16205.614013641192	2599.9856163287955	891.0788389341819
5	7	11956.086049858446	1884.4391553381745	1067.8576285331487
5	8	7638.133308558304	2460.1943125737457	643.1174447688169
5	9	11521.592180074855	2987.674658771602	756.7985511607976
5	10	10786.989484603268	1717.7792224071138	1199.9711015740427
5	11	8381.073478309456	2409.2797037554656	1119.7255963778064
5	12	9613.975416672914	2213.3215947757567	978.8243118084646
5	13	10937.366340000264	2155.774555779645	920.5733073538283
5	14	13643.01360700875	1885.69478581068	1254.1363198789443
5	15	13083.168528303075	1586.5603217488306	1088.7563881209323
5	16	11623.126968224715	1361.3260582790379	1243.7401803928974
5	17	11230.577054323054	1653.3404173140862	1200.4690812484753
5	18	8162.827062336002	1923.7902819927544	937.7637339039023
5	19	12822.897099791027	2115.904685373715	1488.0176572792411
5	20	1011.6163793089576	3804.840568209378	823.8694438321144
5	21	1082.5437961004054	2632.522946169853	1722.303396252097
5	22	1219.680773775876	5359.611762510651	1149.5892983032534
5	23	972.4898188078824	4245.687993737261	710.5897743220036
5	24	1436.5136820242287	3769.5411971444323	1387.1657701010283
5	25	1147.1816282654263	3056.4796983283245	648.3621790839051
5	26	974.6719347114155	4234.065223063398	1388.8003105156643
5	27	1111.0554005372846	4891.210013705732	953.828865445422
5	28	1061.5084412972947	4672.362411389352	951.6003851081492
5	29	914.9616129560363	4356.506431731018	836.5791020694548
5	30	1018.5223060304834	5099.470091498574	989.5550616463721
5	31	1273.0537911202716	4121.525837160446	1347.4980221570302
5	32	897.7456145540223	3080.4811913866674	1217.1711846071428
5	33	1010.4942982315926	3397.5089675027907	915.1794417538534
5	34	1142.8325589759736	5406.630304432743	1058.0236705753528
5	35	1088.930265664749	3397.1415427487373	1088.3045747483338
5	36	1086.886616272825	4901.9201499672645	654.6080906137466
5	37	1440.2420875989121	4583.499112191856	1122.4828866709402
5	38	784.105786644744	4073.6408104212956	1232.1075377494694
5	39	1052.500536406919	4441.86912129737	1022.8679089208327
6	0	11482.276236694708	2628.086368912302	920.510318873752
6	1	9015.212941615726	2602.371603026756	781.0964439780128
6	2	8824.992188453494	2055.8941903070095	899.5213618361201
6	3	12388.51715462504	2032.660801158203	1282.4157856977006
6	4	11102.953147374175	2236.1473883700355	877.923671767028
6	5	12169.171284842265	2186.459806635803	1616.400205586386
6	6	12526.166117839415	1862.5879317144506	850.8088335604021
6	7	12308.858439490723	1574.1030346083812	717.9635700250917
6	8	7613.87727826709	1270.0979042974006	1042.5703052872584
6	9	11646.197146516723	2111.724367047294	1115.1503634106905
6	10	7964.288740693641	2620.748893088684	655.978928425017
6	11	9813.196009352947	2258.2850429364644	441.90593032283715
6	12	9720.16482661406	1577.1986648077734	1047.0452464855798
6	13	13654.065952465926	2167.582758465449	655.4194555580424
6	14	12165.64338756327	2136.282552127635	853.1914794285725
6	15	14508.049923574192	2216.54099768053	883.3054002545323
6	16	13789.249885561832	3171.477472114087	135.97527164250445
6	17	11379.534936596077	2622.1860510248034	1089.9166266620184
6	18	9738.86564542493	1636.191921700053	971.3059445013413
6	19	9617.144621119023	1764.554369220397	990.9367218382351
6	20	776.782365516436	5099.006105887348	827.5115449120423
6	21	1272.2318504906557	3608.593067065857	1376.717407561669
6	22	1365.672596380857	4891.552008812198	249.14613997496778
6	23	1383.63015325342	4632.479576344778	1037.6314035641908
6	24	877.0594656276678	6132.754264810099	970.326721048665
6	25	1406.7163825383	5497.066168612645	857.5648877448024
6	26	1323.134211968725	4621.8226100852635	894.1175780699335
6	27	914.8927193619379	3655.02962493181	813.3042382935911
6	28	1138.739533141882	4370.024059683743	1092.584360444188
6	29	988.5411329453401	2447.524488852267	1017.5478427282334
6	30	909.3918863187681	2813.4810444865448	1116.635765802354
6	31	1110.569996475419	4212.61712287412	794.3879975601789
6	32	1063.6022944330136	3795.195745248818	231.39859182159609
6	33	1396.4944492117982	3513.622458762566	1020.3905059165089
6	34	1377.598492480603	4567.912980899428	889.5860459116086
6	35	974.6306704114336	2550.3226737073996	1341.2537711666753
