"","x","y","PC(38:1)","PA(44:0)","PC(38:0)"
"321",0,8,2,1,1
"322",1,8,2,1,1
"323",2,8,2,2,2
"324",3,8,2,2,1
"325",4,8,2,2,1
"326",5,8,2,1,1
"327",6,8,2,2,2
"328",7,8,2,2,2
"329",8,8,2,2,2
"330",9,8,2,2,2
"331",10,8,2,2,2
"332",11,8,2,2,2
"333",12,8,2,2,1
"334",13,8,2,1,1
"335",14,8,2,1,1
"336",15,8,2,2,2
"337",16,8,2,2,2
"338",17,8,2,2,2
"339",18,8,2,2,2
"340",19,8,2,2,2
"341",20,8,2,2,2
"342",21,8,2,1,1
"343",22,8,2,1,1
"344",23,8,2,1,1
"345",24,8,2,2,2
"346",25,8,2,2,1
"347",26,8,2,2,1
"348",27,8,2,2,2
"349",28,8,2,2,1
"350",29,8,2,1,1
"351",30,8,2,2,2
"352",31,8,2,2,2
"353",32,8,2,1,1
"354",33,8,2,2,1
"355",34,8,2,2,1
"356",35,8,2,1,1
"357",36,8,2,1,1
"358",37,8,2,1,1
"359",38,8,2,1,1
"360",39,8,2,1,1
"361",0,9,2,1,1
"362",1,9,2,2,2
"363",2,9,2,2,2
"364",3,9,2,2,1
"365",4,9,2,2,2
"366",5,9,2,1,1
"367",6,9,2,2,2
"368",7,9,2,1,1
"369",8,9,2,1,1
"370",9,9,2,2,2
"371",10,9,2,2,2
"372",11,9,2,2,1
"373",12,9,2,2,1
"374",13,9,2,1,1
"375",14,9,2,2,2
"376",15,9,2,1,1
"377",16,9,2,1,1
"378",17,9,2,2,2
"379",18,9,2,1,1
"380",19,9,2,2,2
"381",20,9,2,1,1
"382",21,9,2,2,2
"383",22,9,2,2,2
"384",23,9,2,2,2
"385",24,9,2,2,2
"386",25,9,2,2,1
"387",26,9,2,2,2
"388",27,9,2,2,2
"389",28,9,2,2,1
"390",29,9,2,1,1
"391",30,9,2,2,1
"392",31,9,2,2,1
"393",32,9,2,1,1
"394",33,9,2,2,1
"395",34,9,2,1,1
"396",35,9,2,1,1
"397",36,9,2,1,1
"398",37,9,2,2,1
"399",38,9,2,2,1
"400",39,9,2,1,1
"401",0,10,2,1,1
"402",1,10,2,1,1
"403",2,10,2,2,2
"404",3,10,2,2,2
"405",4,10,2,2,2
"406",5,10,2,2,2
"407",6,10,2,2,1
"408",7,10,2,1,1
"409",8,10,2,1,1
"410",9,10,2,2,2
"411",10,10,2,2,2
"412",11,10,2,1,1
"413",12,10,2,2,2
"414",13,10,2,1,1
"415",14,10,2,2,2
"416",15,10,2,2,2
"417",16,10,2,2,2
"418",17,10,2,1,1
"419",18,10,2,2,2
"420",19,10,2,1,1
"421",20,10,2,1,1
"422",21,10,2,2,2
"423",22,10,2,1,2
"424",23,10,2,2,2
"425",24,10,2,2,2
"426",25,10,2,1,2
"427",26,10,2,2,2
"428",27,10,2,2,1
"429",28,10,2,2,2
"430",29,10,2,2,1
"431",30,10,2,2,1
"432",31,10,2,2,1
"433",32,10,2,2,1
"434",33,10,2,2,2
"435",34,10,2,1,1
"436",35,10,2,1,1
"437",36,10,2,2,2
"438",37,10,2,2,1
"439",38,10,2,2,1
"440",39,10,2,1,1
"441",0,11,2,2,2
"442",1,11,2,2,2
"443",2,11,2,2,2
"444",3,11,2,2,2
"445",4,11,2,2,2
"446",5,11,2,2,1
"447",6,11,2,2,1
"448",7,11,2,2,1
"449",8,11,2,1,1
"450",9,11,2,1,1
"451",10,11,2,1,1
"452",11,11,2,2,2
"453",12,11,2,2,2
"454",13,11,2,2,2
"455",14,11,2,2,2
"456",15,11,2,2,2
"457",16,11,2,2,2
"458",17,11,2,2,2
"459",18,11,2,2,2
"460",19,11,2,2,2
"461",20,11,2,2,2
"462",21,11,2,1,1
"463",22,11,2,1,2
"464",23,11,2,1,2
"465",24,11,2,1,2
"466",25,11,2,2,2
"467",26,11,2,2,2
"468",27,11,2,2,2
"469",28,11,2,2,2
"470",29,11,2,2,2
"471",30,11,2,2,2
"472",31,11,2,2,2
"473",32,11,2,2,2
"474",33,11,2,1,1
"475",34,11,2,1,1
"476",35,11,2,1,1
"477",36,11,2,2,1
"478",37,11,2,2,1
"479",38,11,2,1,1
"480",39,11,2,1,1
"481",0,12,2,2,2
"482",1,12,2,2,2
"483",2,12,2,1,1
"484",3,12,2,2,2
"485",4,12,2,2,2
"486",5,12,2,2,1
"487",6,12,2,2,1
"488",7,12,2,2,1
"489",8,12,2,1,1
"490",9,12,2,1,1
"491",10,12,2,1,1
"492",11,12,2,2,2
"493",12,12,2,2,2
"494",13,12,2,2,2
"495",14,12,2,2,2
"496",15,12,2,2,2
"497",16,12,2,2,2
"498",17,12,2,2,2
"499",18,12,2,2,2
"500",19,12,2,2,2
"501",20,12,2,2,2
"502",21,12,2,1,1
"503",22,12,2,2,2
"504",23,12,2,2,2
"505",24,12,2,1,2
"506",25,12,2,1,2
"507",26,12,2,2,2
"508",27,12,2,2,2
"509",28,12,2,1,1
"510",29,12,2,2,2
"511",30,12,2,2,2
"512",31,12,2,2,1
"513",32,12,2,2,2
"514",33,12,2,1,1
"515",34,12,2,2,2
