X	Y	PC_38_0	PC_38_1	PC_38_2	PC_38_3	PS_38_3	PS_38_4	PS_38_5	PS_38_6
0	24	0.13167458406066412	0.5391694938939804	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	25	0.11001247222637024	0.5239647476711483	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	26	0.12419004999999979	0.5274241099999991	-2.8777999999999955e-08	2.2823699999999964e-07	-0.0	-0.0	-0.0	-0.0	
0	27	0.10923172159741061	0.5325066652600726	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	28	0.14524216	0.52041257	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	29	0.12537326504764876	0.5297060037664786	-6.236805733892426e-08	4.946295239294117e-07	-0.0	-0.0	-0.0	-0.0	
0	30	0.13755231946748858	0.5180646535276822	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	31	0.13080667799475046	0.532233148085347	-1.1016663344180844e-08	8.737017018972432e-08	-0.0	-0.0	-0.0	-0.0	
0	32	0.12698531271001562	0.5162887866938315	3.2322192033796867e-07	-0.0	-0.0	-0.0	-0.0	-0.0	
0	33	0.10857962548288394	0.5310188014144853	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	34	0.11626681590068208	0.5246619211199204	-1.9312739949086025e-07	-0.0	1.9809168687692365e-07	-0.0	-0.0	0.0	
0	35	0.12276374421712413	0.533498562935955	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	36	0.11843628000000009	0.5417698800000004	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	37	0.12975455495627655	0.5133491449980766	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	38	0.1258051139464539	0.5128590394831908	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	39	0.12078225176529153	0.5399894670075459	1.1039034002851286e-05	-0.0	9.190787561931772e-06	-0.0	-0.0	-0.0	
0	40	0.11620947999999985	0.5225595599999994	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
0	41	0.11765186747819613	0.5408429475983864	-0.0	-0.0	4.181087000090307e-08	-2.820423018092414e-07	1.3228187099033029e-06	-0.0	
0	42	0.11378515101085841	0.5240855109004993	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	
