m/z	intsy
707.6183333234937	1.8108985939784907e-06
707.6833458981951	7.316633643550507e-07
707.7151196882578	5.314087415116047e-07
707.7535815289631	3.4742704752760943e-07
707.8000198959479	4.825296878692259e-07
707.8513418398512	1.648656721789054e-07
707.8833038623311	4.107018706293337e-07
707.9174516738512	7.160390292470901e-07
707.9535857850063	4.4272101033309184e-07
708.0102820420657	8.324669775430073e-07
708.0403266232518	5.299699983639106e-07
708.075308811195	1.2137062146998354e-06
708.1252587639594	6.562442151374695e-07
708.1651500470733	9.649784704700327e-07
708.2376065575527	1.253310425440557e-06
708.3041737816934	2.9452120561199194e-06
708.3456080707798	1.021305960329444e-06
708.4119453683029	5.1947871203526855e-06
708.4745532088914	8.598378954511837e-06
708.5251467402815	4.862588789020822e-07
708.5789038110662	5.529338046732679e-07
708.6098250810936	4.805336790434785e-07
708.6566818981104	2.907629189708244e-07
708.6864857838843	1.5089496989345027e-07
708.7285114742803	4.795395608195224e-07
708.7798410828925	6.085180335107938e-07
708.8219488958897	5.049172150354868e-08
708.8643189601672	8.041649313583965e-07
708.9038292229436	1.0183605864340104e-06
708.9461906386416	3.6571187477519484e-07
708.9842846127391	9.948529150325328e-07
709.0185837908293	2.2804314552482235e-07
709.108987590471	1.4007337159141711e-06
709.2133306761716	1.1120126034365633e-06
709.2366111038289	9.415763996862171e-07
709.3467263668066	1.936757660083565e-06
709.4122839932122	4.754346918586582e-06
709.478086314703	4.419989860054952e-06
709.5155074765465	1.5995903460184623e-05
709.5850465624903	5.468160990337339e-07
709.6227444941171	7.257945816236201e-07
709.7023948146327	8.835043388399557e-07
709.7542294046658	2.040470088410587e-07
709.7946815485806	6.854920889028017e-07
709.8388982129852	7.486151331452736e-07
709.8889958966013	2.1220971647953634e-06
710.0275119948885	1.9690149021694864e-06
710.0948262190948	6.919128881975715e-07
710.1377538515436	6.347384438665037e-07
710.1843789700008	5.261180495565077e-07
710.2135222534212	4.0317111015586193e-07
710.250298694561	1.2346514560080702e-06
710.2837053123654	3.32540552939708e-07
710.3209436627923	1.021091797454685e-06
710.3494971181397	1.6292786588633503e-06
710.3802522978785	8.108440391695258e-06
710.489904872894	0.00637797114369924
710.5615708790715	1.4161183983046078e-07
710.6117481477019	1.730896225625586e-06
710.6774179577038	3.031922156316489e-07
710.7381740650359	6.575506133046411e-07
710.784877632235	8.910099291008305e-07
710.8382205460578	4.015649109011101e-07
710.8795366762371	6.544293435168089e-07
710.9190699177674	6.65245908662719e-07
711.0010831421723	1.0466086272430363e-06
711.0536805182443	6.277782084338857e-07
711.1257624341631	1.2327457030162026e-06
711.230183836923	1.427169308592085e-06
